# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-04-25 23:10:37.091
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002693,-0.1228,-0.2606,0.5289,0.60
0.013661,-0.1605,-0.5234,0.2592,0.61
0.024589,-0.5922,-0.0997,-0.2331,0.64
0.033247,-0.4455,0.0659,-0.6321,0.78
0.043551,-0.1420,0.3332,-0.8763,0.95
0.060172,0.4106,0.6160,-0.9169,1.18
0.063050,0.5204,1.1781,-0.4556,1.37
0.077041,1.4408,0.2632,-0.4857,1.54
0.082911,1.7538,-0.1134,-0.2875,1.78
0.093802,1.3771,-0.1448,-0.3044,1.42
0.103184,0.8969,0.0624,-0.1950,0.92
0.113930,0.5072,-0.0804,-0.7242,0.89
0.127048,0.2334,-0.0116,-0.7455,0.78
0.137854,-0.3503,-0.0639,-0.6417,0.73
0.146008,-0.5470,-0.1451,-0.5128,0.76
0.152834,-0.2869,-0.1614,-0.5494,0.64
0.162794,0.0982,-0.0824,-0.7031,0.71
0.175111,0.5907,0.0839,-0.7603,0.97
0.182691,0.8363,0.2434,-0.7606,1.16
0.193314,0.9355,0.3708,-0.6068,1.18
0.202885,0.9440,0.3320,-0.4611,1.10
0.213379,1.2826,0.2985,0.0007,1.32
0.225215,1.1772,-0.2479,-0.0451,1.20
0.232915,1.2853,-0.5170,-0.0139,1.39
0.242878,1.0694,-0.4590,0.0510,1.16
0.252852,0.5364,-0.4567,-0.0356,0.71
0.262638,0.0655,-0.3659,0.2366,0.44
0.275340,-0.4525,-0.4543,0.7700,1.00
0.283192,-0.9701,-0.8302,1.4691,1.95
0.293377,-0.8602,-0.6909,2.1464,2.41
0.303464,-0.7396,-0.9907,1.2202,1.74
0.317828,-0.3281,-1.1737,0.6228,1.37
0.335688,-0.0199,-1.0480,0.1034,1.05
0.335807,-0.4313,-0.6780,0.0900,0.81
0.343908,-0.5837,-0.2453,0.7362,0.97
0.353254,-0.6740,-0.1589,1.4279,1.59
0.362923,-0.5553,-0.3565,1.3992,1.55
0.376844,-0.2560,-0.7517,0.7592,1.10
0.382980,0.0615,-1.0752,0.1250,1.08
0.393727,0.2854,-1.2247,-0.7520,1.47
0.402683,0.3923,-1.2003,-1.6138,2.05
0.414028,0.3237,-0.9986,-2.1258,2.37
0.427500,-0.0381,-0.5945,-2.3091,2.38
0.433206,-0.4795,-0.2132,-2.4943,2.55
0.444016,-1.0510,0.1274,-1.9863,2.25
0.453115,-1.7704,0.4507,-1.2987,2.24
0.463456,-2.3586,0.6999,-0.8665,2.61
0.477697,-2.6188,0.8451,-0.6364,2.82
0.482878,-1.7961,0.6746,-0.9855,2.16
0.494314,-0.8635,0.1922,-1.7446,1.96
0.502957,-0.6150,-0.0260,-1.8420,1.94
0.513036,-0.6310,0.1475,-1.2137,1.38
0.528329,-0.5691,0.5919,-0.0759,0.82
0.533402,-1.1060,1.0055,1.6089,2.20
0.545459,-1.4195,0.8908,2.2130,2.78
0.553382,-1.7614,0.3538,1.8344,2.57
0.564630,-1.7940,-0.8559,0.2745,2.01
0.579231,-1.3847,-1.9947,-0.3942,2.46
0.582670,-1.9320,-1.2597,1.0680,2.54
0.596194,-2.7491,0.3084,2.6173,3.81
0.603428,-1.4726,-0.0497,2.9414,3.29
0.614259,0.3511,-1.4298,2.8045,3.17
0.630610,0.9602,-1.9426,2.6903,3.45
0.633610,-0.7032,-0.6904,-0.5152,1.11
0.646743,-2.4718,0.2830,-1.0405,2.70
0.654386,-3.6942,1.1606,-0.9800,3.99
0.664725,-3.1387,0.3487,-0.4965,3.20
0.680223,-2.1824,-0.5139,0.0141,2.24
0.683271,-1.2543,-1.1948,1.0652,2.03
0.697981,0.3596,-0.9029,2.5891,2.77
0.704089,1.2694,-0.9792,0.7038,1.75
0.715826,1.6147,-1.0401,-0.3652,1.96
0.731213,1.3011,-0.3469,0.1785,1.36
0.734119,0.9308,0.1590,0.3951,1.02
0.749429,0.7760,0.0875,-0.6339,1.01
0.753226,0.3412,0.0335,-1.3018,1.35
0.765212,-0.0632,0.0727,-1.3244,1.33
0.782867,-0.0645,0.2509,-0.8513,0.89
0.786206,0.1154,0.1363,-0.1367,0.22
0.798355,0.4169,-0.0026,0.7591,0.87
0.803723,0.8110,-0.1108,1.3628,1.59
0.814520,0.5520,-0.3521,1.5063,1.64
0.832035,0.3017,-0.4632,1.4023,1.51
0.836064,-0.2421,-0.3773,0.6561,0.79
0.848352,-0.5021,-0.0228,-0.1921,0.54
0.854859,-0.2896,0.1751,-0.9351,0.99
0.867394,-0.0406,0.3161,-1.0815,1.13
0.882456,0.0796,0.4871,-0.5423,0.73
0.884672,0.2816,0.4536,0.6384,0.83
0.898654,0.1711,0.1309,1.3409,1.36
0.904681,-0.0055,-0.2291,1.2325,1.25
0.916658,-0.2980,-0.2023,0.5597,0.67
0.932187,-0.7978,0.0433,-0.1711,0.82
0.934068,-1.0076,0.1402,-0.9819,1.41
0.949726,-0.5898,0.1303,-1.3808,1.51
0.954043,0.1777,-0.0228,-1.4297,1.44
0.965698,0.8527,0.0082,-1.0635,1.36
0.974041,1.1107,0.1288,-0.3937,1.19
0.984242,0.9471,-0.0119,-0.3024,0.99
0.999147,0.5282,-0.0259,-0.2880,0.60
1.003803,0.2264,0.0604,-0.4957,0.55
1.016337,-0.1196,0.0981,-0.6160,0.64
1.024171,-0.0321,-0.1982,-0.9070,0.93
1.033336,0.0859,-0.5492,-0.7874,0.96
1.045202,0.1323,-0.9024,-1.0508,1.39
1.054839,-0.5408,-0.2828,-0.8004,1.01
1.067740,-0.8970,-0.0379,-0.6935,1.13
1.074264,-0.7673,-0.0609,-0.9061,1.19
1.083442,-0.7411,-0.1976,-0.9841,1.25
1.100483,-0.8867,-0.3044,-0.7526,1.20
1.104384,-0.9668,-0.4638,-0.4527,1.16
1.116632,-1.4071,-0.4822,0.3770,1.53
1.124344,-1.4882,-0.5562,1.4117,2.13
1.149383,-0.9346,-0.5055,2.0642,2.32
1.149572,-0.2529,-0.5968,1.7216,1.84
1.153249,0.3548,-0.5942,0.7684,1.03
1.164918,0.6627,-0.3077,0.4462,0.86
1.173253,0.5459,-0.0881,-0.2382,0.60
1.182850,0.9395,-1.2756,-1.3242,2.06
1.196237,0.8325,-1.2819,-1.3037,2.01
1.204004,0.0883,0.0417,-1.3098,1.31
1.213997,-0.4949,0.1303,-0.6431,0.82
1.223885,-0.5928,0.1459,-0.1407,0.63
1.233506,-0.6276,0.2092,0.3756,0.76
1.246448,-0.3558,0.5679,0.6053,0.90
1.253595,0.3174,0.4426,0.1839,0.57
1.264509,0.9699,-0.0265,-0.6847,1.19
1.274628,1.5692,-0.3150,-1.4383,2.15
1.282878,1.5893,-0.5245,-1.7249,2.40
1.304800,1.1922,-0.8728,-1.8299,2.35
1.304978,0.8188,-1.1501,-1.8363,2.32
1.314927,-0.0553,-1.2760,-1.8249,2.23
1.323749,-0.6490,-1.0049,-1.4618,1.89
1.333663,-0.8938,-0.6189,-0.6627,1.27
1.347753,-0.6380,-0.3156,-0.0836,0.72
1.353194,-0.2790,-0.1344,0.0844,0.32
1.364091,0.3100,-0.0005,0.0905,0.32
1.372968,0.6798,0.2692,-0.1396,0.74
1.382892,0.7681,0.4845,-0.5635,1.07
1.398271,0.7431,0.3445,-1.3505,1.58
1.403551,0.7081,0.4256,-1.0939,1.37
1.415271,0.5440,0.3851,-0.7944,1.04
1.423920,0.3567,0.1405,-0.4841,0.62
1.433246,0.2365,-0.1401,-0.5300,0.60
1.448479,0.6179,-0.2132,-0.8242,1.05
1.453711,1.0369,-0.5018,-1.6009,1.97
1.465254,1.4670,-0.4712,-2.5584,2.99
1.474064,1.6304,-0.2389,-3.3884,3.77
1.482952,1.5130,0.2665,-3.1190,3.48
1.498288,0.7954,0.8206,-1.4821,1.87
1.502803,0.0868,1.0642,0.5124,1.18
1.515594,-0.1750,0.9774,1.6459,1.92
1.522866,-0.4898,0.8603,2.1950,2.41
1.533674,-0.4124,0.8389,2.0882,2.29
1.550112,0.1585,0.7307,1.4291,1.61
1.553364,0.4021,0.8073,1.2681,1.56
1.566153,0.5004,0.9441,1.3437,1.72
1.574514,0.5489,0.9157,0.7111,1.28
1.584251,0.3493,0.7308,0.4584,0.93
1.599093,0.9234,0.8571,1.3188,1.82
1.603319,2.4233,0.8257,1.3777,2.91
1.617187,3.3946,0.2311,1.3559,3.66
1.623643,3.7789,-0.2313,1.3348,4.01
1.634546,3.8817,0.0641,0.8005,3.96
1.648504,3.1565,0.6771,0.5152,3.27
1.653403,2.0930,1.2783,-0.0354,2.45
1.664355,1.8502,1.4194,-0.8527,2.48
1.674504,1.6876,1.5549,-1.1270,2.56
1.685006,1.1907,1.4683,-1.2978,2.29
1.702458,-2.3778,3.2463,-2.3561,4.66
1.704609,-0.2673,1.5788,1.1098,1.95
1.717766,-0.5621,1.4143,1.4658,2.11
1.723296,0.5480,1.2655,-0.0336,1.38
1.734054,1.9521,0.7728,-2.2873,3.10
1.751276,1.4610,0.2580,-1.3188,1.98
1.753946,0.7414,0.5560,1.5657,1.82
1.767367,1.2784,0.8951,0.0147,1.56
1.773363,1.2046,0.8861,0.1018,1.50
1.786081,1.3905,0.4077,-1.7865,2.30
1.801103,1.5267,0.3532,-2.3941,2.86
1.803244,1.1772,0.0745,-1.9942,2.32
1.817404,0.7424,-0.1575,-1.3208,1.52
1.823290,0.2251,-0.0324,-1.1020,1.13
1.835425,0.6066,-0.1085,-0.8837,1.08
1.843988,0.3952,-0.2686,0.2268,0.53
1.853209,0.2398,-0.2496,1.5014,1.54
1.868497,0.3379,-0.3849,1.4362,1.52
1.873373,0.6369,-0.5821,0.6140,1.06
1.885520,0.4175,-0.7112,-1.4972,1.71
1.904647,0.5757,-0.5262,-1.5939,1.77
1.904812,0.8263,-0.4912,-1.9284,2.15
1.918799,0.9997,-0.4922,-1.8758,2.18
1.922776,1.2314,-0.3741,-2.0099,2.39
1.934435,1.2249,-0.3710,-1.8785,2.27
1.942718,1.2753,-0.3442,-1.7783,2.22
1.953042,1.3756,-0.1064,-1.5677,2.09
1.968032,0.8992,-0.1427,-1.2700,1.56
1.974218,0.3533,-0.1803,-0.9872,1.06
1.986783,-0.0180,-0.2267,-1.2010,1.22
1.993129,-0.0882,-0.5312,-1.8535,1.93
2.003025,0.3723,-0.6983,-2.0492,2.20
2.020195,1.0608,-0.5451,-1.7320,2.10
2.023376,1.5009,-0.2699,-1.4761,2.12
2.035955,1.7790,-0.0176,-1.7811,2.52
2.042790,1.9168,0.0400,-2.3015,3.00
2.054003,1.5375,-0.1091,-2.6316,3.05
2.069251,0.8722,-0.3461,-2.6605,2.82
2.073534,-0.1326,-0.9447,-2.4258,2.61
2.089181,-0.7145,-1.4101,-2.5908,3.03
2.093785,-0.9163,-1.5789,-2.8412,3.38
2.103124,-1.1695,-1.4293,-2.7271,3.29
2.116310,-2.9659,-0.7960,-1.4549,3.40
2.124168,-3.9875,0.0228,-1.3797,4.22
2.135398,-4.9814,-0.0878,-1.3605,5.16
2.144228,-4.1268,-0.3395,-1.5541,4.42
2.157752,-3.4978,-0.6859,-1.6624,3.93
2.165366,-2.1051,-1.1428,-1.9710,3.10
2.174393,-1.1286,-1.3830,-2.0662,2.73
2.183713,-0.7872,-1.7731,-1.1302,2.25
2.193177,-0.3800,-2.1381,-0.3268,2.20
2.203453,1.4241,-2.6213,0.5940,3.04
2.216298,2.8345,-2.9876,1.8789,4.53
2.223569,2.4264,-2.8974,3.2044,4.95
2.233492,-0.1413,-1.9313,4.4339,4.84
2.242775,-2.2215,-0.7850,2.1209,3.17
2.253125,-3.1535,0.6136,-0.7813,3.31
2.267086,-4.7650,2.4147,-0.9447,5.42
2.272566,-6.3445,3.3156,-2.1838,7.48
2.282989,-5.1484,3.1878,-2.6176,6.60
2.293340,-2.7956,1.4115,-1.6389,3.53
2.303348,-1.2922,-0.4880,-1.8002,2.27
2.321441,-0.8050,-1.4927,-0.8635,1.90
2.322790,0.2369,-1.5512,0.3788,1.61
2.334119,1.3165,-1.3537,1.2184,2.25
2.343046,0.7580,-1.1509,2.8841,3.20
2.354195,-0.5670,-0.6124,3.2470,3.35
2.369087,-0.8408,-0.4632,2.7491,2.91
2.372667,-0.5441,-0.7318,1.6588,1.89
2.385556,0.1897,-0.8769,1.5405,1.78
2.393978,-1.8463,-1.1149,2.0721,2.99
2.402986,-2.7033,-0.8220,0.9464,2.98
2.418677,-1.5062,0.0260,-0.6955,1.66
2.422828,-1.0242,-0.0912,0.8832,1.36
2.435513,-1.5977,-1.1902,1.6981,2.62
2.442759,-2.3940,-2.5912,0.6405,3.59
2.453239,-1.0687,-2.4049,2.2592,3.47
2.462679,1.6788,-1.5419,4.2955,4.86
2.473395,2.3698,-0.3116,3.7313,4.43
2.485600,1.1310,0.3535,6.0231,6.14
2.493388,-0.6798,0.5847,5.4037,5.48
2.503192,-2.7953,0.3780,2.7832,3.96
2.519110,-2.8481,0.0205,1.8244,3.38
2.523764,-2.4231,-0.1426,1.0211,2.63
2.535894,-1.1905,0.1305,0.1736,1.21
2.544151,-0.4525,1.8097,-1.4617,2.37
2.554211,-0.1412,2.9155,-3.1167,4.27
2.570311,-0.8413,4.2750,-4.8784,6.54
2.573093,-2.7145,6.2002,12.9177,14.58
2.586671,3.8475,4.6575,8.8658,10.73
2.594360,4.8266,2.2305,4.0294,6.67
2.603781,2.9377,-0.1052,2.1765,3.66
2.613190,1.6132,-0.3977,1.0008,1.94
2.623630,1.2879,-0.0329,0.6542,1.44
2.636859,2.1607,0.2437,0.6932,2.28
2.643236,2.3385,-0.0743,-0.1918,2.35
2.654709,1.2860,-0.3129,-1.0186,1.67
2.671497,-0.8786,0.2213,-1.9625,2.16
2.673014,-2.8229,1.1432,-1.8129,3.54
2.688081,-2.1102,1.3842,-1.5154,2.94
2.693130,-0.0066,1.0332,-1.5325,1.85
2.705540,1.6561,0.5520,-0.0864,1.75
2.714314,0.7738,0.4170,0.1701,0.90
2.723472,-0.9206,-0.1809,0.3614,1.01
2.737382,-1.8097,-1.3486,-0.0357,2.26
2.743629,-1.8289,-2.3819,-1.2898,3.27
2.754402,-0.8985,-2.5331,-1.7900,3.23
2.764253,-1.1737,-1.9987,-3.5448,4.24
2.773814,0.0315,-0.9596,-6.4858,6.56
2.788290,3.4503,-0.1772,-6.3934,7.27
2.793781,5.5597,0.9751,0.8534,5.71
2.805201,2.7778,1.8748,-0.1719,3.36
2.814912,3.0100,1.5738,-3.0318,4.55
2.822918,0.5352,0.3620,-3.1280,3.19
2.838828,1.8286,-0.4460,-4.1004,4.51
2.842839,1.7137,-1.2571,-1.4824,2.59
2.855260,-0.6153,-1.3631,-2.0608,2.55
2.863745,-0.5473,-1.6045,-2.7081,3.19
2.874689,-0.5133,-1.4916,-3.0532,3.44
2.889822,0.4487,-1.2006,-2.4827,2.79
2.894538,1.4673,-0.1786,-0.6912,1.63
2.907039,3.2892,0.8789,1.8098,3.86
2.912668,3.9626,1.8806,3.8740,5.85
2.923307,3.6542,2.0660,4.5853,6.22
2.938746,3.1642,1.5370,3.6494,5.07
2.942509,2.4360,0.9825,2.7467,3.80
2.956647,1.4291,0.3897,1.3844,2.03
2.963578,0.5959,-0.0442,0.1378,0.61
2.974458,-0.3162,-0.7384,-0.7234,1.08
2.990338,-0.3002,-1.5678,-0.9530,1.86
2.993874,-0.1292,-1.6914,0.2946,1.72
3.008163,1.4031,-1.0153,1.9957,2.64
3.013468,1.9013,-0.0105,3.2674,3.78
3.023122,1.9171,0.8395,4.0240,4.54
3.039237,1.1112,1.4681,3.4862,3.94
3.043753,0.6633,1.5198,2.8310,3.28
3.056895,0.5981,1.1723,2.5024,2.83
3.063590,0.0032,0.7756,2.5919,2.71
3.074770,-0.4169,0.5913,2.4162,2.52
3.086935,-0.5386,0.3121,2.0524,2.14
3.093967,-0.2744,-0.0184,1.2139,1.24
3.107079,0.7191,-0.6990,0.3459,1.06
3.113109,1.5417,-1.3960,0.7402,2.21
3.126124,0.7351,-1.4845,1.8538,2.49
3.138277,0.0840,-1.2821,2.4698,2.78
3.142461,-0.0357,-1.1235,2.2183,2.49
3.157573,-0.9507,-0.5423,2.0315,2.31
3.165711,-0.9877,-0.1434,4.4363,4.55
3.175559,-1.8733,0.1235,3.2143,3.72
3.187597,-1.5354,0.3066,1.1957,1.97
3.193760,-0.5574,0.2275,-0.8855,1.07
3.203668,1.0276,-0.5078,-1.1553,1.63
3.213391,2.3231,-1.5535,-0.5364,2.85
3.224227,2.7045,-2.4375,-1.1765,3.83
3.237622,3.5218,-4.0286,-1.3373,5.52
3.243303,4.5275,-5.0381,-1.4439,6.93
3.254437,3.0852,-5.9889,-0.4690,6.75
3.263922,2.2295,-6.1451,-0.2504,6.54
3.274140,2.0356,-5.9814,0.3686,6.33
3.288646,1.9505,-5.7940,1.0342,6.20
3.293470,2.6261,-5.8018,0.9027,6.43
3.303957,1.9105,-4.9561,1.4720,5.51
3.313756,-0.7840,-3.5122,2.0733,4.15
3.323700,-3.8072,-2.3227,1.3330,4.65
3.338867,-4.5241,-2.0768,0.2732,4.99
3.342878,-4.6209,-1.6821,0.3557,4.93
3.353962,-3.8453,-1.7263,0.0039,4.22
3.364140,-3.1368,-1.8607,-1.0153,3.79
3.374507,-4.0041,-0.9126,0.4020,4.13
3.387392,-4.1743,0.7094,1.4174,4.47
3.393008,-1.4151,0.7929,1.5343,2.23
3.405361,-2.6774,0.9303,0.1517,2.84
3.413996,-5.1342,0.8453,-0.0735,5.20
3.423070,-7.1601,0.5939,-3.5180,8.00
3.438745,-5.3662,0.2576,-3.7286,6.54
3.443759,-3.8133,-0.6510,-3.7738,5.40
3.455745,-2.8123,-2.0570,-6.6717,7.53
3.462253,-2.1089,-1.8342,-6.4985,7.07
3.472662,-5.3050,-0.3851,-2.8380,6.03
3.483800,-7.2331,1.1299,2.4979,7.74
3.493952,-5.6119,2.6882,5.5130,8.31
3.505869,-3.4065,3.0473,4.6097,6.49
3.513369,-0.8333,2.0873,2.4709,3.34
3.523882,-0.7576,1.3718,0.5290,1.65
3.539972,-0.8565,1.2704,0.5430,1.63
3.543196,-0.4855,0.2653,-1.7883,1.87
3.555859,-0.5686,-0.4246,-4.0898,4.15
3.562413,-2.0545,-0.6562,-9.4117,9.66
3.572688,-1.0695,-1.2161,-12.6389,12.74
3.582504,4.4543,-2.5590,-7.5110,9.10
3.592781,10.5126,-2.3387,-1.0498,10.82
3.604806,9.3929,-1.1615,-0.5977,9.48
3.613086,4.1953,-0.7077,0.4763,4.28
3.623583,3.7558,-0.1574,3.7168,5.29
3.639751,3.2633,0.1986,3.6196,4.88
3.642958,-2.3664,1.0798,10.4483,10.77
3.656375,-7.8775,2.9494,1.4677,8.54
3.662941,-11.3797,2.8716,3.1119,12.14
3.674817,-10.0656,1.1565,1.0385,10.18
3.682883,-4.9430,-0.1197,0.4718,4.97
3.693132,-1.0252,-0.7336,-1.8246,2.22
3.706630,-1.0092,-0.6915,-1.8097,2.18
3.713178,0.0577,-0.3152,-6.4181,6.43
3.724248,0.5811,0.4018,-7.4200,7.45
3.734481,2.4114,0.2880,-6.6202,7.05
3.743824,3.3306,-1.6100,-6.0969,7.13
3.757592,-1.5488,-3.1585,-6.8898,7.74
3.763259,-7.3245,-1.1200,-8.3910,11.19
3.774512,-9.5399,2.0905,-8.7882,13.14
3.782830,-7.6911,2.9186,-7.6434,11.23
3.794238,-2.0394,2.2614,-6.0779,6.80
3.807305,3.4789,1.4877,-4.9167,6.20
3.813260,5.6885,1.6142,-4.6691,7.53
3.825319,4.9826,2.7492,-5.4171,7.86
3.833894,3.8820,4.2087,-4.9204,7.55
3.843334,1.9638,4.7093,-3.6082,6.25
3.855522,0.2938,4.4764,-4.4704,6.33
3.863263,-0.3369,5.1723,-4.9369,7.16
3.875902,-0.9411,5.4151,-3.5578,6.55
3.883747,-0.9051,5.3915,-2.5198,6.02
3.893907,-1.2930,5.5417,-1.4321,5.87
3.909071,-1.4063,5.4926,-0.3075,5.68
3.913693,-2.0392,5.2996,1.0453,5.77
3.924773,-2.4734,5.9550,1.7373,6.68
3.933597,-4.5466,5.7618,2.8453,7.87
3.945335,-2.4448,3.9932,5.0476,6.88
3.959415,-1.9106,4.1718,5.2581,6.98
3.963933,-3.6337,5.0212,4.5246,7.67
3.976055,-5.6581,5.6988,3.0063,8.57
3.983902,-7.5587,6.0662,1.5372,9.81
3.992725,-8.9975,6.0706,0.9120,10.89
4.010539,-9.6222,5.4269,-0.0119,11.05
4.013552,-9.2870,4.3616,-1.6033,10.38
4.023303,-8.9061,3.4124,-3.3468,10.11
4.033516,-9.3152,2.6365,-5.1754,10.98
4.044265,-9.0949,1.8333,-6.1990,11.16
4.059377,-8.3023,1.5775,-6.3315,10.56
4.063484,-7.7923,1.4692,-5.5915,9.70
4.074403,-7.2160,0.5252,-4.3700,8.45
4.083003,-11.6465,-3.0276,-1.7292,12.16
4.093868,-15.6364,-6.5173,6.5399,18.16
4.110772,-13.7944,-7.9219,11.0396,19.36
4.113624,-10.6109,-7.8447,6.2262,14.59
4.124860,-7.4146,-7.3211,-0.9375,10.46
4.133677,-5.3527,-6.4116,-5.2546,9.87
4.143362,-3.8307,-4.8885,-7.9672,10.10
4.156362,-2.2332,-3.9084,-10.0778,11.04
4.163877,-1.2818,-3.5738,-10.3469,11.02
4.176838,0.0975,-4.2380,-8.9824,9.93
4.189614,0.0557,-4.8147,-6.9312,8.44
4.194154,-1.4171,-4.9016,-3.8011,6.36
4.207252,-2.8030,-4.1249,-1.8857,5.33
4.213354,-3.9369,-4.8264,-0.5276,6.25
4.223552,-5.6503,-3.5717,-0.4609,6.70
4.234008,-6.4174,-1.9793,0.5329,6.74
4.243348,-4.4947,-1.2019,0.7072,4.71
4.257122,-4.8405,-1.7691,0.5508,5.18
4.263567,-5.6523,-0.8875,1.5419,5.93
4.276600,-5.8432,0.5582,0.7825,5.92
4.283806,-3.6732,0.4994,-0.4426,3.73
4.293868,-3.9603,0.0718,-2.4088,4.64
4.307765,-3.2309,0.6916,-2.1737,3.96
4.313746,-0.4763,0.4561,-3.0285,3.10
4.324327,-2.5025,-1.3868,-2.1942,3.61
4.333103,-3.5056,-0.3219,0.5763,3.57
4.342850,-1.4772,0.3638,-0.4232,1.58
4.357799,-1.8979,0.1807,0.8720,2.10
4.362528,-1.5911,0.6249,1.8895,2.55
4.375580,-1.2126,0.6344,2.0570,2.47
4.383582,-2.2244,0.9453,1.4981,2.84
4.393495,-5.9962,0.2192,-1.6744,6.23
4.402323,-2.6160,-0.2094,1.3867,2.97
4.412607,1.0444,0.6620,7.4381,7.54
4.424927,2.3056,2.0312,-6.2867,7.00
4.433042,6.8863,-1.0455,-3.8727,7.97
4.444264,-2.6842,-0.5491,2.8983,3.99
4.458806,3.9452,-0.9145,1.9297,4.49
4.463056,6.2635,-0.9925,1.7668,6.58
4.475600,6.9375,-0.9192,-0.9752,7.07
4.482448,6.9104,-0.8023,-1.6921,7.16
4.494072,2.4259,0.5823,-1.4375,2.88
4.509824,5.2925,-2.4712,2.2070,6.24
4.513797,4.6046,-1.7422,1.8207,5.25
4.526218,4.5499,-1.0915,1.2938,4.85
4.533925,5.1326,-0.0201,1.3816,5.32
4.544339,4.6064,0.6373,-0.0098,4.65
4.553051,3.9011,0.6898,-1.1809,4.13
4.563874,3.3719,1.0105,-1.9382,4.02
4.576639,3.3886,0.9741,-1.9219,4.02
4.582676,2.8645,0.7458,-2.0932,3.63
4.593170,0.2709,1.4697,-1.8982,2.42
4.602210,0.6154,1.5966,0.4921,1.78
4.612511,0.5061,0.1632,6.9732,6.99
4.626569,-2.8998,-2.1035,4.2153,5.53
4.634147,-1.2591,-2.2912,2.5458,3.65
4.644319,-0.6273,-1.7041,2.1080,2.78
4.654197,-0.9676,-0.8001,0.7246,1.45
4.663615,0.4261,-1.4629,1.9726,2.49
4.677393,0.7252,-2.8345,1.8612,3.47
4.682614,1.2988,-3.0407,-1.5721,3.66
4.695757,1.4622,-2.2815,-6.9903,7.50
4.703502,1.0477,-0.7620,-8.0188,8.12
4.713110,0.2885,0.0345,-6.3022,6.31
4.727727,-2.1366,-0.0855,-3.6257,4.21
4.733441,-2.7220,0.1105,-2.6265,3.78
4.744599,-1.5362,-0.4671,-3.1976,3.58
4.759544,1.6682,-0.0929,0.1825,1.68
4.762822,3.5053,-0.3121,2.0964,4.10
4.780101,3.2718,0.2634,0.8637,3.39
4.783890,3.2130,0.3340,-0.7819,3.32
4.799475,2.0813,0.0594,-0.7783,2.22
4.802913,2.3890,0.4955,-1.5006,2.86
4.813590,1.3116,1.4047,-1.1834,2.26
4.826419,1.2123,1.3248,-0.9133,2.01
4.833728,1.8944,0.6655,-0.9538,2.22
4.846747,1.4230,-0.0755,-1.7001,2.22
4.853607,0.7652,-0.5879,-2.3142,2.51
4.863584,0.5555,-0.5876,-1.0703,1.34
4.876596,-1.2097,-0.3768,-0.3958,1.33
4.882940,-3.4425,0.3171,-0.6505,3.52
4.894453,-0.8494,-0.5014,-0.6760,1.20
4.904324,0.2828,0.0172,-0.3100,0.42
4.914150,0.6199,-0.6866,-2.4035,2.58
4.931080,-0.5357,-1.2507,-0.0616,1.36
4.933499,1.0119,-0.9317,-0.8723,1.63
4.944544,2.3308,-0.4935,-2.0184,3.12
4.953971,2.7438,-0.7798,-4.0716,4.97
4.963522,2.0561,0.3354,-3.1668,3.79
4.982145,-4.0603,1.0790,-7.7189,8.79
4.982625,-9.4472,3.0465,-3.1631,10.42
4.993794,-2.2582,0.8951,4.4104,5.04
5.003114,-0.7770,-1.6628,2.4986,3.10
5.013959,-6.0847,-3.1357,4.3274,8.10
5.027463,-9.3888,-1.8110,5.4289,11.00
5.033596,-7.5730,-0.6695,5.3766,9.31
5.045138,-3.0870,-1.4418,2.0096,3.96
5.053624,-1.0695,-1.0759,-0.9832,1.81
5.063510,-1.6033,-0.5002,1.6937,2.39
5.076896,-1.9164,-0.9798,1.3326,2.53
5.083265,-0.4678,0.4109,-0.4762,0.78
5.094297,-1.0781,-0.9287,3.9734,4.22
5.104712,0.0735,-0.4529,5.3125,5.33
5.114161,-1.1864,2.2941,-4.7275,5.39
5.128114,3.4426,-0.3446,-3.4842,4.91
5.134575,4.4450,-2.4547,-3.2224,6.01
5.144863,-2.6238,-1.6424,-4.6373,5.58
5.153838,-1.9327,-3.0518,1.7497,4.01
5.165854,-2.3921,-3.9490,1.8421,4.97
5.178094,-3.4621,-4.5599,1.7101,5.98
5.183911,-2.5864,-2.8565,3.0407,4.91
5.195091,-2.4090,-2.2847,-0.7973,3.41
5.204274,-0.1792,-1.1118,-2.7474,2.97
5.214529,2.8883,-1.2516,-5.6903,6.50
5.222308,2.9522,0.7354,-4.4921,5.43
5.233697,0.8542,2.4767,-1.6487,3.10
5.245740,0.7877,1.9781,-1.5793,2.65
5.253373,-0.2719,1.7608,-0.1481,1.79
5.263234,-2.4622,0.6378,1.6368,3.02
5.273979,-3.6045,0.6963,1.2857,3.89
5.283161,-2.1294,0.3782,0.1805,2.17
5.294193,0.1232,-0.7252,-2.0452,2.17
5.303392,3.1116,-1.2843,0.2198,3.37
5.314009,6.9179,2.4076,-3.0497,7.93
5.322718,5.3438,2.0876,-4.1935,7.11
5.333956,2.7172,-0.8242,-3.4315,4.45
5.344571,0.4507,-1.5009,-1.2846,2.03
5.353029,-0.1859,-0.7181,-0.1378,0.75
5.362901,0.8837,-0.7412,1.1541,1.63
5.379004,1.7353,0.2325,1.9325,2.61
5.382645,4.4644,0.9932,1.4870,4.81
5.394573,8.6972,1.2970,2.6959,9.20
5.403558,7.5984,0.8333,4.4111,8.83
5.413519,7.0008,-0.7696,4.5974,8.41
